creator_address,seconds_to_dump_mean,seconds_to_dump_median,sol_pnl_mean,sol_pnl_median,usd_pnl_mean,usd_pnl_median,total_sol_volume_mean,total_sol_volume_median,total_usd_volume_mean,total_usd_volume_median,num_swappers_mean,num_swappers_median,creator_from_sol_swaps_mean,creator_from_sol_swaps_median,creator_to_sol_swaps_mean,creator_to_sol_swaps_median,mean_time_delta
5Hyf6srdbrrD1HLjqxcFbXJRFBHgnwoZc7aZRj8vDuk5,22.369860966586227,12.999969720840454,0.3737962072468844,0.00012093100000005,77.33979444205701,0.0199999999999818,77.7253096179359,7.9054756335,16918.259563099844,1606.5,25.957957312705915,6.0,1.0002864919066037,1.0,1.0140381034235784,1.0,850.153912854975
5UZ6SFoRbZb3Wesbxb8xai5416CGuY8SDFFg6DJGX74Y,,,0.0,0.0,0.0,0.0,0.8016525109806167,0.0399999985,152.80322466960354,7.07,2.298458149779736,2.0,0.0,0.0,0.0,0.0,1666.2435977514053
5VED2h4zgN3cjhJWVxQgS4pLmo53HCqQrrFBStG7i4uo,569.4164702990477,13.000009953975676,0.3124219521951219,1.7262000000073385e-05,66.26926360225141,0.0,131.43582816863838,8.396088353,26112.071177298312,1795.3249999999998,26.764540337711068,5.0,1.0028142589118199,1.0,1.0201688555347093,1.0,1464.108644307983
5WYwniGiyuTm9QtTECH1R7cyee5W8zgFp7oy6j3QbNtV,905.5250195646546,555.0000071525574,3.9463901937043116e-05,-9.999999994736442e-10,0.000899919289749783,0.0,0.36254701572639225,0.1000004585,47.344737691686845,13.54,2.7732041969330106,2.0,1.0020177562550443,1.0,1.0,1.0,248.58336697618086
5WuTSCsQ4dhSPLVsiZFyZMWQfRxvZaXxXsJ34bvvYapB,,,0.0,0.0,0.0,0.0,2.0278186987998934,0.204159999,386.16450039968026,39.650000000000006,2.887556621369571,2.0,0.0,0.0,0.0,0.0,5265.46404109589
5wndZMmZzydwLvhhGWcm2pwztDGv6qFcrhwbKjTGeJ4f,363.99525943135853,62.99998015165329,0.11798948409118792,0.0319809429999999,20.46998047964306,5.944999999999993,96.66137308103737,7.812052809,19033.734676519798,1261.455,50.09899609592861,8.0,1.0,1.0,1.01840490797546,1.0,2004.6585774058578
63EbUyj9a4K86NimRCdpFzobzDUKjAZHa18raKvyqdsA,18.69302959887975,14.999999105930328,0.156713040288874,0.0035256999999999,23.460207774798924,0.5400000000000205,93.15133138597888,7.5969624635,12890.051467828418,1125.5149999999999,34.90650134048257,8.0,1.0365281501340482,1.0,1.1005361930294906,1.0,1392.18102581294
6WgXuHPo9xWu1Mzt8hULYWFwpyh1WwhByPYjsF23h41A,474.2710648278525,598.0000153183937,0.07192516324036574,0.0,17.28041476159373,0.0,80.36911568630046,4.886200412,18668.750555192684,1163.53,12.039843239712607,3.0,1.0,1.0,1.0,1.0,535.3472131147541
6Wkq1znNRV2Kf8JmJfhFTT2udrRkJF5pAtYv8ykY3tK6,46.523809113672804,28.50000634789467,0.0035797858562259294,-1e-09,0.7743175010697478,0.0,5.385104639171588,0.158603959,1175.1623791185277,33.64,4.840393667094566,3.0,1.0008557980316646,1.0,0.01797175866495507,0.0,4102.388697152718
6d22FozaKK239PoBYVffkYKA1QPQZE8fC7AQkpmHQfjp,45.25908496657336,14.000004529953005,0.2680717868735523,0.00017354,51.508146193278904,0.0399999999999636,49.53141956460797,8.332132210000001,9935.389358648186,1617.18,22.86569204480729,6.0,1.0006075564837669,1.0,1.0446554015568634,1.0,449.55404993909866
6rXTgb8dp7FaavXt11qjRd9KzGHzCJtgBxupo9phS4Sg,96.7803027798337,22.999995946884155,0.43200690249834517,0.0,87.80095035460994,0.0,75.48220744246572,11.081387537,14310.836302600472,2497.56,19.713475177304964,4.0,1.0094562647754137,1.0,1.0231678486997635,1.0,1762.1064333017976
7AZBJFbLghiFBQ7mZFq6ANPMtUcar3Azc7icCf3eYB1A,23.967373042793596,22.999995946884155,0.09232301095720337,0.0,12.288813559322033,0.0,51.9755881657178,6.3606610395,7045.191059322034,839.845,22.057627118644067,5.0,1.0,1.0,1.0,1.0,522.704111911827
7R3KWHxzCf1eevnqHh4YymyTf4WsVJRwVHjrTGiV5zq1,36.5591677003906,25.00002533197403,0.17735497628844374,0.0004953539999998,37.65217411402158,0.0999999999999659,50.98535253446749,6.8127951630000005,10853.719204930663,1440.1599999999999,20.213713405238828,4.0,1.001386748844376,1.0,1.011864406779661,1.0,2313.1371551856987
7m6zpeapVnx52JLqrcEsp56XXN6skUeWMZDUFzDjE2yC,173.24784398745211,25.99997967481613,1.20721884081179,0.0010294385000002,282.5579935100054,0.2099999999999227,784.76125424784,12.101846009,182748.72617090322,2744.1800000000003,76.11492698756085,6.0,1.0016224986479179,1.0,0.9148188209843159,1.0,461.9358584462262
83QQFLxcEzuJZaejBnzAiW5tyfyaRHMLZnkhJbRPRWtf,87.51072457964467,13.000009953975676,0.3990672834639258,6.500000093723202e-09,82.12925086037365,0.0,139.2707462713994,8.475269298499999,28756.423038348083,1644.355,31.4194936086529,6.0,1.0004301868239922,1.0,1.015302359882006,1.0,698.0185447600271
8JBqFdE18SF1iayZPHX5mL7cZuhZqFNx3XWeU2Peiz6f,70.87413885684545,37.99999505281448,0.14093810201290874,0.001541714,24.947969018932877,0.2900000000000204,31.824318280376936,6.2989731935,5721.5175972461275,1158.4450000000002,13.658864027538726,4.0,1.0068846815834767,1.0,1.0008605851979346,1.0,4370.109313134791
8kcDVZfn5KN2mTQSdo72SiZjCyeGoTM2s6n5m96XoV5u,700.6666749715805,726.9999995827675,0.043343281735397456,0.0,6.746697408871322,0.0,52.43863596447233,38.508502217,8311.80050944225,6033.055,44.318401405357925,42.0,0.0,0.0,0.0006587615283267457,0.0,2167.006808697562
99q4g7RHKh1eD2w95HFSQdakYC6RqmAqEyzptCLN74E4,5416.928548659567,29.00000363588333,0.31197055402213086,0.1973855669999999,58.52606070186532,34.0,127.54105957013878,15.082802358,25212.48438507746,2823.71,64.68131520708188,11.0,1.0,1.0,1.0467910211824218,1.0,5688.701138519924
9RaEEUfFwbzNSA6qBpYzew67xBehfT4soKbUR5KuQNJf,118.01189876654568,59.00000184774399,0.43929694649338025,0.0021926509999996,99.15378247025306,0.4700000000000273,241.4298374655867,9.710256773,51294.876695156694,2099.21,53.97419138595609,6.0,1.0003351768057651,1.0,1.008044243338361,1.0,1212.1664122137404
9ZCrb9iKawp1e5Gw3r2BpHpCZQbHFg6DLguzQ5SkP2Eg,102.58182379485537,14.000004529953005,0.4294417323981862,0.0,83.36663999390338,0.0,60.636995721097776,10.694181718,11353.638346288675,2168.625,25.944520652339584,6.0,1.0012955342173449,1.0,1.0138698369151045,1.0,291.5990990990991
9gnDS5oNivUzftLJDeAKqcqA3H7t8puiPHabNB3sWk8q,56.005437415570874,37.99999505281448,0.09662846739284095,0.0,12.634608065246942,0.0,35.205449274496154,6.361164495,4573.103203443588,830.45,16.656547349343,5.0,1.0,1.0,1.0,1.0,834.9614687216682
9km7F8EoqxtmjJ54AmfESiid6A7WQNkvF6BvpfvZJC62,1760.6201579433564,66.99999868869781,0.21302663706249997,0.0,47.94976672535211,0.0,38.74034524763424,10.700435507,8226.971456866198,2427.465,19.3631161971831,5.0,1.0,1.0,1.0039612676056338,1.0,1599.351124834583
9nNxZ2wWkj46cruV3UA8vTNyJP3arvwDjcdYvAez6BxR,27.4939903174527,13.000009953975676,0.8159425618429554,0.0,160.38647921029016,0.0,263.68658600000776,11.299999979,55720.35669757702,2056.86,47.51510619204308,3.0,1.0,1.0,1.073287466347592,1.0,728.6448137888581
9pcfJsidozuhAWcnaDCSvNJQ6A6tzRDf4UN7g4upTZrx,24.481585339081583,22.00000137090683,0.21559975071199997,0.18565781049999996,27.898776,23.885000000000005,35.5569666614896,6.266793123,4552.362224,803.94,22.3444,7.0,1.0,1.0,0.9992,1.0,853.0100040016007
AL8JqmDEWKs67EwXwTnc58ab4w2CeSe6igq7uXFBZFja,,,0.0,0.0,0.0,0.0,1.4107314047693467,0.5998764845,289.7884924623115,124.08,2.3909547738693466,2.0,0.0,0.0,0.0,0.0,1639.6065959952887
APVEy4vUEQ3dAvQmuJWXdQ2w13zwQ7ykmxdQP9iivPkJ,657.7764553206356,23.99999052286148,0.12733250860168757,0.0079607059999999,25.246527477282562,1.4350000000000023,111.6820878725926,6.7952630339999995,22315.606843357855,1306.225,34.13262656858503,6.0,1.0015144958892255,1.0,1.00951968844656,1.0,6539.882709370266
ARuJrNERmFxdNLU9BLeWLEKWJweUMdcF7bJJdGfGsY47,107.90596234454614,12.000015377998352,1.2538878785292782,0.0001313930000002,227.17529732183385,0.0299999999999727,92.07099611336768,10.935707728,16986.717703132093,2187.36,39.02905129369042,6.0,1.0226963231956423,1.0,0.9959146618247844,1.0,1835.1511027686531
AVsRdizrKsZ3MP5y7bW9Yihr7aBvF4zu4s8s9Ltqm4fu,17.58664972079334,13.000009953975676,0.1748142179510779,0.03559628300000005,25.85004975124378,5.0,153.76390575663558,7.775634762,21431.80528606965,1153.065,61.51990049751244,9.0,1.0,1.0,1.2002487562189055,1.0,1003.9643301534633
